Scheme Code,Scheme Name,Net Asset Value,Date,Repurchase Price,Sale Price,AMC
120503.0,Mirae Asset Large Cap Fund — Growth,315.4161,17-Jan-2024,312.2619,315.4161,Demo AMC
122639.0,SBI Small Cap Fund — Growth,172.14,17-Jan-2024,170.4186,172.14,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,41.1436,17-Jan-2024,40.7322,41.1436,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,162.3813,17-Jan-2024,160.7575,162.3813,Demo AMC
119551.0,Axis Bluechip Fund — Growth,169.3398,18-Jan-2024,167.6464,169.3398,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,367.507,18-Jan-2024,363.8319,367.507,Demo AMC
122639.0,SBI Small Cap Fund — Growth,322.4032,18-Jan-2024,319.1792,322.4032,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,444.7342,18-Jan-2024,440.2869,444.7342,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,241.3853,18-Jan-2024,238.9714,241.3853,Demo AMC
119551.0,Axis Bluechip Fund — Growth,68.6012,19-Jan-2024,67.9152,68.6012,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,359.4899,19-Jan-2024,355.895,359.4899,Demo AMC
122639.0,SBI Small Cap Fund — Growth,382.7847,19-Jan-2024,378.9569,382.7847,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,285.0258,19-Jan-2024,282.1755,285.0258,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,387.7739,19-Jan-2024,383.8962,387.7739,Demo AMC
119551.0,Axis Bluechip Fund — Growth,251.9598,20-Jan-2024,249.4402,251.9598,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,266.1391,20-Jan-2024,263.4777,266.1391,Demo AMC
122639.0,SBI Small Cap Fund — Growth,219.4951,20-Jan-2024,217.3001,219.4951,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,22.4554,20-Jan-2024,22.2308,22.4554,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,62.8668,20-Jan-2024,62.2381,62.8668,Demo AMC
119551.0,Axis Bluechip Fund — Growth,25.4003,21-Jan-2024,25.1463,25.4003,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,321.8411,21-Jan-2024,318.6227,321.8411,Demo AMC
122639.0,SBI Small Cap Fund — Growth,164.0344,21-Jan-2024,162.3941,164.0344,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,259.1996,21-Jan-2024,256.6076,259.1996,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,454.7076,21-Jan-2024,450.1605,454.7076,Demo AMC
119551.0,Axis Bluechip Fund — Growth,132.1532,22-Jan-2024,130.8317,132.1532,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,211.0876,22-Jan-2024,208.9767,211.0876,Demo AMC
122639.0,SBI Small Cap Fund — Growth,380.2201,22-Jan-2024,376.4179,380.2201,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,122.1111,22-Jan-2024,120.89,122.1111,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,47.7202,22-Jan-2024,47.243,47.7202,Demo AMC
119551.0,Axis Bluechip Fund — Growth,151.9782,23-Jan-2024,150.4584,151.9782,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,88.9984,23-Jan-2024,88.1084,88.9984,Demo AMC
122639.0,SBI Small Cap Fund — Growth,465.5518,23-Jan-2024,460.8963,465.5518,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,405.979,23-Jan-2024,401.9192,405.979,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,320.3678,23-Jan-2024,317.1641,320.3678,Demo AMC
119551.0,Axis Bluechip Fund — Growth,437.0157,24-Jan-2024,432.6455,437.0157,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,403.7993,24-Jan-2024,399.7613,403.7993,Demo AMC
122639.0,SBI Small Cap Fund — Growth,101.4193,24-Jan-2024,100.4051,101.4193,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,447.3539,24-Jan-2024,442.8804,447.3539,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,274.2777,24-Jan-2024,271.5349,274.2777,Demo AMC
119551.0,Axis Bluechip Fund — Growth,405.6457,25-Jan-2024,401.5892,405.6457,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,449.0847,25-Jan-2024,444.5939,449.0847,Demo AMC
122639.0,SBI Small Cap Fund — Growth,165.8217,25-Jan-2024,164.1635,165.8217,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,63.9254,25-Jan-2024,63.2861,63.9254,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,121.6882,25-Jan-2024,120.4713,121.6882,Demo AMC
119551.0,Axis Bluechip Fund — Growth,219.2828,26-Jan-2024,217.09,219.2828,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,410.8272,26-Jan-2024,406.7189,410.8272,Demo AMC
122639.0,SBI Small Cap Fund — Growth,431.758,26-Jan-2024,427.4404,431.758,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,13.4065,26-Jan-2024,13.2724,13.4065,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,260.2662,26-Jan-2024,257.6635,260.2662,Demo AMC
119551.0,Axis Bluechip Fund — Growth,214.5314,27-Jan-2024,212.3861,214.5314,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,118.8328,27-Jan-2024,117.6445,118.8328,Demo AMC
122639.0,SBI Small Cap Fund — Growth,68.734,27-Jan-2024,68.0467,68.734,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,175.4314,27-Jan-2024,173.6771,175.4314,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,472.0258,27-Jan-2024,467.3055,472.0258,Demo AMC
119551.0,Axis Bluechip Fund — Growth,168.3694,28-Jan-2024,166.6857,168.3694,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,264.2074,28-Jan-2024,261.5653,264.2074,Demo AMC
122639.0,SBI Small Cap Fund — Growth,354.4793,28-Jan-2024,350.9345,354.4793,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,188.1785,28-Jan-2024,186.2967,188.1785,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,486.1732,28-Jan-2024,481.3115,486.1732,Demo AMC
119551.0,Axis Bluechip Fund — Growth,481.5992,29-Jan-2024,476.7832,481.5992,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,133.3733,29-Jan-2024,132.0396,133.3733,Demo AMC
122639.0,SBI Small Cap Fund — Growth,253.6518,29-Jan-2024,251.1153,253.6518,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,157.4304,29-Jan-2024,155.8561,157.4304,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,149.5718,29-Jan-2024,148.0761,149.5718,Demo AMC
119551.0,Axis Bluechip Fund — Growth,28.0746,30-Jan-2024,27.7939,28.0746,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,308.6865,30-Jan-2024,305.5996,308.6865,Demo AMC
122639.0,SBI Small Cap Fund — Growth,256.3127,30-Jan-2024,253.7496,256.3127,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,35.2246,30-Jan-2024,34.8724,35.2246,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,146.5368,30-Jan-2024,145.0714,146.5368,Demo AMC
119551.0,Axis Bluechip Fund — Growth,455.0503,31-Jan-2024,450.4998,455.0503,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,127.3853,31-Jan-2024,126.1114,127.3853,Demo AMC
122639.0,SBI Small Cap Fund — Growth,80.9985,31-Jan-2024,80.1885,80.9985,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,249.8319,31-Jan-2024,247.3336,249.8319,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,492.9687,31-Jan-2024,488.039,492.9687,Demo AMC
119551.0,Axis Bluechip Fund — Growth,128.6071,01-Feb-2024,127.321,128.6071,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,339.3464,01-Feb-2024,335.9529,339.3464,Demo AMC
122639.0,SBI Small Cap Fund — Growth,383.1936,01-Feb-2024,379.3617,383.1936,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,126.4424,01-Feb-2024,125.178,126.4424,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,366.826,01-Feb-2024,363.1577,366.826,Demo AMC
119551.0,Axis Bluechip Fund — Growth,190.2137,02-Feb-2024,188.3116,190.2137,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,319.8299,02-Feb-2024,316.6316,319.8299,Demo AMC
122639.0,SBI Small Cap Fund — Growth,320.4296,02-Feb-2024,317.2253,320.4296,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,272.5296,02-Feb-2024,269.8043,272.5296,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,54.242,02-Feb-2024,53.6996,54.242,Demo AMC
119551.0,Axis Bluechip Fund — Growth,419.2982,03-Feb-2024,415.1052,419.2982,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,167.1822,03-Feb-2024,165.5104,167.1822,Demo AMC
122639.0,SBI Small Cap Fund — Growth,101.3941,03-Feb-2024,100.3802,101.3941,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,29.9798,03-Feb-2024,29.68,29.9798,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,299.5375,03-Feb-2024,296.5421,299.5375,Demo AMC
119551.0,Axis Bluechip Fund — Growth,342.0065,04-Feb-2024,338.5864,342.0065,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,18.128,04-Feb-2024,17.9467,18.128,Demo AMC
122639.0,SBI Small Cap Fund — Growth,260.9256,04-Feb-2024,258.3163,260.9256,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,120.9829,04-Feb-2024,119.7731,120.9829,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,326.1347,04-Feb-2024,322.8734,326.1347,Demo AMC
119551.0,Axis Bluechip Fund — Growth,95.4396,05-Feb-2024,94.4852,95.4396,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,348.5595,05-Feb-2024,345.0739,348.5595,Demo AMC
122639.0,SBI Small Cap Fund — Growth,199.5003,05-Feb-2024,197.5053,199.5003,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,468.9977,05-Feb-2024,464.3077,468.9977,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,77.3853,05-Feb-2024,76.6114,77.3853,Demo AMC
119551.0,Axis Bluechip Fund — Growth,177.1225,06-Feb-2024,175.3513,177.1225,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,65.602,06-Feb-2024,64.946,65.602,Demo AMC
122639.0,SBI Small Cap Fund — Growth,463.0999,06-Feb-2024,458.4689,463.0999,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,439.8963,06-Feb-2024,435.4973,439.8963,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,136.3914,06-Feb-2024,135.0275,136.3914,Demo AMC
119551.0,Axis Bluechip Fund — Growth,333.3922,07-Feb-2024,330.0583,333.3922,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,410.4389,07-Feb-2024,406.3345,410.4389,Demo AMC
122639.0,SBI Small Cap Fund — Growth,282.0484,07-Feb-2024,279.2279,282.0484,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,269.5288,07-Feb-2024,266.8335,269.5288,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,128.5076,07-Feb-2024,127.2225,128.5076,Demo AMC
119551.0,Axis Bluechip Fund — Growth,55.6204,08-Feb-2024,55.0642,55.6204,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,449.6357,08-Feb-2024,445.1393,449.6357,Demo AMC
122639.0,SBI Small Cap Fund — Growth,451.2048,08-Feb-2024,446.6928,451.2048,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,320.2197,08-Feb-2024,317.0175,320.2197,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,176.1246,08-Feb-2024,174.3634,176.1246,Demo AMC
119551.0,Axis Bluechip Fund — Growth,181.1127,09-Feb-2024,179.3016,181.1127,Demo AMC
120503.0,Mirae Asset Large Cap Fund — Growth,365.7183,09-Feb-2024,362.0611,365.7183,Demo AMC
122639.0,SBI Small Cap Fund — Growth,449.584,09-Feb-2024,445.0882,449.584,Demo AMC
125497.0,HDFC Mid-Cap Opportunities Fund — Growth,444.6723,09-Feb-2024,440.2256,444.6723,Demo AMC
118989.0,ICICI Prudential Technology Fund — Growth,392.139,09-Feb-2024,388.2176,392.139,Demo AMC
-1.0,BAD_CODE,100.0,01-Jan-2024,99.0,100.0,Demo
,NULL_CODE,,BAD_DATE,,,Demo
