Scheme Code,Scheme Name,AMC Code,Category,Sub Category,As of Date,Returns 1M (%),Returns 3M (%),Returns 6M (%),Returns 1Y (%),Returns 3Y (%),Returns 5Y (%),Sharpe Ratio,Expense Ratio (%),AUM (Cr),Benchmark
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,30-Sep-2024,0.0589,0.1119,0.2547,0.3639,1.1006,1.9088,2.049,0.5719,3895.35,NIFTY 50
120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Equity,Large Cap,31-Dec-2024,0.0146,0.0372,0.071,0.136,0.3193,0.3964,0.3049,0.361,2804.7,NIFTY 50
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,31-Mar-2022,-0.0077,0.0571,0.0244,0.0002,0.2897,0.6986,1.0667,1.1587,910.52,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,30-Jun-2022,0.0661,0.0986,0.3153,0.6147,1.7484,2.9079,1.8846,0.3355,6082.36,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,30-Sep-2022,0.0058,-0.0693,-0.1005,-0.1342,-0.3813,-0.5915,2.2342,0.4402,16661.27,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,31-Dec-2022,0.0243,0.032,0.0424,0.1738,0.3997,0.6481,0.752,0.5946,28526.24,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,31-Mar-2023,0.0422,0.0919,0.2687,0.2567,1.2035,1.9549,1.5749,1.0478,5544.05,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,30-Jun-2023,0.039,0.0622,0.2623,0.4662,1.5052,2.3495,1.4117,0.7818,12321.83,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,30-Sep-2023,0.009,-0.0085,-0.1476,-0.2284,-0.6051,-0.7859,0.7943,0.9661,34932.46,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,31-Dec-2023,-0.0105,0.0454,0.0142,-0.1287,-0.1097,-0.2892,2.1998,0.1254,26713.13,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,31-Mar-2024,0.0212,0.1049,0.2263,0.4665,1.2161,2.161,1.1618,1.0974,44968.77,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,30-Jun-2024,0.0006,-0.0057,0.1089,0.1383,0.4201,0.6366,2.0579,1.1484,36708.86,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,30-Sep-2024,-0.0257,0.0047,-0.078,-0.1473,-0.3623,-0.9392,1.0122,1.1089,32829.32,NIFTY MIDCAP 100
122639,SBI Small Cap Fund - Direct Growth,SBI,Equity,Small Cap,31-Dec-2024,-0.0128,-0.1171,-0.276,-0.4563,-1.1019,-1.9632,0.3151,1.1791,40411.61,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,31-Mar-2022,0.0287,0.029,0.1078,0.1771,0.7737,0.9159,0.8327,0.4567,40784.49,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,30-Jun-2022,-0.0108,0.0532,0.1291,0.2918,0.8977,1.5759,0.5306,0.4172,49185.86,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,30-Sep-2022,-0.016,-0.1387,-0.2018,-0.3159,-1.1352,-1.9593,2.0641,0.5148,35532.59,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,31-Dec-2022,-0.0258,0.0335,0.015,0.0894,0.1925,0.4642,,0.9354,4166.64,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,31-Mar-2023,0.0165,-0.0387,-0.0326,-0.0454,0.0154,-0.1253,0.9627,1.0146,33378.86,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,30-Jun-2023,0.0044,0.0586,0.0809,0.1672,0.2558,0.5636,1.2358,0.7635,28860.83,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,30-Sep-2023,-0.0196,-0.0652,-0.1654,-0.2558,-1.1581,-1.8077,1.8919,0.8374,18781.59,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,31-Dec-2023,0.0282,0.0331,0.0774,0.136,0.3115,0.8891,,0.2912,34143.83,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,31-Mar-2024,-0.0015,0.005,-0.0792,-0.0027,-0.0932,-0.2978,1.8689,0.3466,5934.32,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,30-Jun-2024,0.0543,0.2781,0.3301,0.956,2.4354,3.9656,1.3555,0.1892,38393.08,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,30-Sep-2024,0.0326,0.1951,0.3153,0.671,1.6676,2.8698,2.4578,0.3364,42473.2,NIFTY MIDCAP 100
125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Equity,Mid Cap,31-Dec-2024,-0.0262,-0.0537,-0.1192,-0.2267,-1.0439,-1.6881,1.0515,0.3403,37990.49,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,31-Mar-2022,0.0231,0.0005,-0.006,-0.1423,-0.1226,-0.3261,1.4215,1.1774,3652.52,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,30-Jun-2022,0.0091,-0.0395,0.025,-0.0391,-0.0805,-0.164,2.069,0.9886,35406.18,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,30-Sep-2022,-0.047,-0.1755,-0.1949,-0.4138,-1.3742,-2.218,1.5368,0.5427,13327.84,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,31-Dec-2022,-0.0351,-0.0401,0.0372,-0.0167,-0.039,0.0618,2.1773,0.6884,21071.79,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,31-Mar-2023,-0.0134,-0.0221,-0.0904,-0.1668,-0.2606,-0.2725,0.9248,0.4648,6540.41,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,30-Jun-2023,0.0195,-0.0924,-0.0711,-0.2181,-0.3607,-0.9131,0.9926,0.7253,30833.74,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,30-Sep-2023,0.0528,0.1169,0.2682,0.4265,1.3956,2.3215,2.2911,0.4042,6872.32,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,31-Dec-2023,0.0321,0.0223,0.1424,0.3194,0.8215,1.3703,1.6165,0.124,16987.25,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,31-Mar-2024,-0.0021,0.0307,-0.0675,0.1139,0.1451,0.5244,1.9121,999.0,46843.58,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,30-Jun-2024,0.014,0.0622,0.1861,0.3068,1.0635,1.5348,0.6736,0.814,31141.46,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,30-Sep-2024,-0.0304,0.0181,0.0357,0.0702,0.1098,0.2099,0.4763,1.1166,2514.77,NIFTY MIDCAP 100
118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Equity,Sectoral,31-Dec-2024,0.0196,-0.0108,-0.046,-0.1048,-0.2611,-0.4145,2.1693,1.1599,34409.51,NIFTY MIDCAP 100
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,31-Mar-2022,-0.0421,-0.0645,-0.1511,-0.2458,-0.6608,-1.145,1.9458,0.8737,35920.2,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,30-Jun-2022,0.0039,0.1031,0.0509,0.1999,0.7023,1.0722,2.2799,0.8164,-1.0,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,30-Sep-2022,0.0389,0.0578,0.1021,0.234,0.8519,1.2985,1.0202,0.5229,4216.03,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,31-Dec-2022,0.0187,0.1178,0.2193,0.427,1.3141,2.087,0.678,0.7335,34001.57,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,31-Mar-2023,-0.0031,-0.0685,-0.1053,-0.0285,-0.3213,-0.436,0.5177,1.066,27062.54,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,30-Jun-2023,0.0228,0.0517,0.0632,0.2535,0.738,1.0358,0.582,1.1228,16280.4,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,30-Sep-2023,-0.0204,0.0212,0.0759,0.1771,0.348,0.2922,,0.5144,29259.97,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,31-Dec-2023,0.034,-0.0167,-0.1192,-0.2294,-0.8072,-1.4703,1.7644,0.8106,24296.86,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,31-Mar-2024,0.0326,0.0368,0.0392,-0.0111,0.221,0.6511,0.4382,0.9443,36830.05,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,30-Jun-2024,-0.0061,0.1154,0.1137,0.315,0.965,1.5714,0.9782,0.8971,24840.48,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,30-Sep-2024,0.006,-0.0398,-0.0754,-0.1771,-0.7056,-1.034,0.8416,0.6578,-1.0,NIFTY 50
119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Equity,Large Cap,31-Dec-2024,0.0031,0.0222,0.1613,0.2162,0.844,1.6232,1.9505,0.4329,35495.73,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,31-Mar-2022,0.0165,0.106,0.2049,0.4104,1.0266,1.8771,1.0955,0.9484,18818.87,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,30-Jun-2022,-0.0074,0.0247,0.0382,0.0978,0.37,0.7818,2.0692,0.7738,41651.21,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,30-Sep-2022,-0.0127,0.0079,-0.0363,-0.0817,-0.4211,-0.8169,2.102,0.861,6458.15,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,31-Dec-2022,0.0855,0.162,0.3312,0.6165,1.8596,3.0073,2.1138,0.8729,-1.0,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,31-Mar-2023,0.008,0.1589,0.2521,0.5417,1.5071,2.6329,,0.2821,35349.64,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,30-Jun-2023,-0.0108,-0.0824,-0.1812,-0.2069,-0.6046,-1.1033,1.14,0.1952,38753.07,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,30-Sep-2023,0.0119,0.0475,0.187,0.3608,0.9944,1.791,1.0178,0.6932,29786.64,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,31-Dec-2023,0.0954,0.1956,0.3314,0.7111,2.1105,3.2147,0.4019,0.9004,20172.93,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,31-Mar-2024,0.022,0.0509,0.0865,0.1452,0.507,0.8326,1.1846,0.3648,16534.03,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,30-Jun-2024,-0.057,-0.1516,-0.2557,-0.5506,-1.521,-2.6491,2.0428,0.5931,47753.29,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,30-Sep-2024,0.0106,0.0609,0.0444,0.1647,0.4172,0.8393,,1.1161,31520.48,NIFTY 50
120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Equity,Large Cap,31-Dec-2024,-0.0433,-0.0646,-0.1382,-0.1927,-0.6794,-0.9933,1.4531,0.7555,18443.25,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,31-Mar-2022,-0.0043,-0.025,-0.1594,-0.1152,-0.7127,-1.1953,1.1629,0.597,48327.31,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,30-Jun-2022,-0.007,-0.0618,-0.1386,-0.2388,-0.6066,-1.0266,1.0857,0.3978,33540.91,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,30-Sep-2022,-0.0004,0.0488,0.0068,0.0546,0.154,0.3384,1.9743,0.624,8547.5,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,31-Dec-2022,-0.0292,-0.1205,-0.0672,-0.0982,-0.453,-0.6477,0.7402,0.8985,26556.47,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,31-Mar-2023,-0.0041,-0.0768,-0.018,-0.0861,-0.5744,-0.6234,2.4237,0.8713,32224.5,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,30-Jun-2023,0.0079,0.1596,0.2063,0.5082,1.244,2.319,0.6251,0.2427,31910.66,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,30-Sep-2023,-0.0383,-0.0707,-0.1168,-0.285,-0.8149,-1.1577,2.1832,0.468,15173.83,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,31-Dec-2023,0.1332,0.2346,0.3223,0.687,2.0807,3.1783,2.0274,0.8692,39541.55,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,31-Mar-2024,0.0412,0.0648,0.2321,0.5493,1.3531,2.0853,0.3904,0.3777,49210.08,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,30-Jun-2024,0.0253,0.0449,0.2049,0.3594,1.0451,1.7211,1.6296,1.0519,13560.23,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,30-Sep-2024,0.0345,0.1417,0.22,0.3876,1.3003,2.3973,0.584,0.1403,44921.94,NIFTY 50
120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Equity,Large Cap,31-Dec-2024,-0.0011,-0.0434,-0.1791,-0.5603,-1.3887,-2.5181,1.9617,0.6786,16521.08,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,31-Mar-2022,0.0771,0.2013,0.3969,0.5952,2.098,3.5459,1.9596,0.5776,18583.98,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,30-Jun-2022,-0.0242,0.0053,-0.0336,-0.0817,-0.2313,-0.4422,0.9407,0.955,16904.72,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,30-Sep-2022,0.0674,0.1099,0.2658,0.5112,1.6322,2.7671,1.7848,0.5259,48942.06,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,31-Dec-2022,0.0101,-0.0479,0.0037,0.0031,-0.0474,-0.1702,0.8673,0.4913,24705.1,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,31-Mar-2023,0.006,-0.016,0.0014,-0.0099,-0.2011,-0.121,1.8812,0.1556,39216.9,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,30-Jun-2023,0.0734,0.089,0.1592,0.3788,1.1096,1.7595,1.5819,0.2128,36725.08,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,30-Sep-2023,0.025,-0.0352,0.0009,0.0693,0.2673,0.4883,0.9605,0.5761,37209.49,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,31-Dec-2023,0.0305,0.0803,0.1485,0.4815,0.9534,1.8668,1.7646,0.1601,33108.13,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,31-Mar-2024,0.0212,0.0666,0.1955,0.2847,1.0252,1.3972,1.4327,0.1932,31020.57,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,30-Jun-2024,0.0199,-0.0165,0.0804,0.0829,0.0749,0.2883,0.3015,0.5023,45993.93,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,30-Sep-2024,0.0616,0.2256,0.373,0.6265,1.8486,3.1115,1.6579,0.4992,42125.43,NIFTY 50
120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Equity,Large Cap,31-Dec-2024,0.0233,0.1656,0.3196,0.5713,1.6787,3.1413,0.7116,0.7712,9623.36,NIFTY 50
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,31-Mar-2022,0.0531,0.203,0.3639,0.7402,2.1065,3.6558,0.3514,0.8182,48541.97,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,30-Jun-2022,0.0004,-0.0233,0.0674,0.145,0.03,0.3691,1.902,999.0,8558.61,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,30-Sep-2022,0.0219,0.0705,0.0728,0.1008,0.4323,0.8447,1.84,1.1678,1733.36,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,31-Dec-2022,0.0177,-0.0171,0.0074,0.1767,0.3629,0.6891,0.3019,1.1476,19882.06,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,31-Mar-2023,0.0345,0.0342,0.032,0.1323,0.3076,0.628,1.2392,999.0,39583.34,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,30-Jun-2023,-0.0091,-0.0335,0.0278,-0.0254,-0.0604,-0.1459,1.7135,0.4482,14879.1,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,30-Sep-2023,-0.025,-0.0254,-0.1528,-0.3117,-0.7856,-1.4096,0.987,0.7543,38233.04,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,31-Dec-2023,-0.0162,0.0882,0.0617,0.062,0.4835,0.5583,1.2722,1.0349,10069.46,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,31-Mar-2024,0.0047,0.1459,0.2378,0.497,1.6062,2.7388,2.3438,0.1341,42681.73,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,30-Jun-2024,0.0114,-0.1011,-0.0471,-0.1568,-0.5274,-0.6964,2.4183,1.1819,6593.14,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,30-Sep-2024,0.0312,0.0922,0.0597,0.2861,0.5475,1.0825,1.3232,0.4251,6657.97,NIFTY MIDCAP 100
135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Equity,Flexi Cap,31-Dec-2024,0.0716,0.1045,0.2816,0.4469,1.2313,2.1011,1.9964,0.3417,31006.11,NIFTY MIDCAP 100
