investor_id,scheme_code,first_sip_month,last_sip_month,expected_months,actual_months,continuity_rate,max_consecutive_streak,status
INV5ZJA8,120503,2024-03,2024-03,1,1,1.0,1,Inactive
INV60RJI,118989,2023-03,2023-03,1,1,1.0,1,Inactive
INV60RJI,120716,2022-01,2024-01,25,2,0.08,1,Inactive
INV64DPJ,120465,2022-08,2022-08,1,1,1.0,1,Inactive
INV64DPJ,122639,2024-11,2024-11,1,1,1.0,1,Active
INV64DPJ,135781,2023-07,2023-07,1,1,1.0,1,Inactive
INV6HID2,119551,2023-09,2023-09,1,1,1.0,1,Inactive
INV6HID2,120594,2022-02,2023-12,23,2,0.08695652173913043,1,Inactive
INV6HID2,122639,2023-09,2023-09,1,1,1.0,1,Inactive
INV6T4UF,120716,2023-09,2023-09,1,1,1.0,1,Inactive
INV6T4UF,135781,2024-03,2024-03,1,1,1.0,1,Inactive
INV6VZ41,120594,2022-10,2022-10,1,1,1.0,1,Inactive
INV6VZ41,120716,2022-02,2022-02,1,1,1.0,1,Inactive
INV7PZE9,120465,2024-01,2024-01,1,1,1.0,1,Inactive
INV7UR23,118989,2023-03,2023-03,1,1,1.0,1,Inactive
INV7UR23,120465,2022-09,2022-09,1,1,1.0,1,Inactive
INV7UR23,120594,2024-06,2024-06,1,1,1.0,1,Inactive
INV7UR23,120716,2023-06,2023-06,1,1,1.0,1,Inactive
INV83TQL,118989,2023-04,2023-04,1,1,1.0,1,Inactive
INV83TQL,120503,2023-08,2023-08,1,1,1.0,1,Inactive
INV8P0TV,120465,2023-03,2023-03,1,1,1.0,1,Inactive
INV8P0TV,122639,2023-05,2023-05,1,1,1.0,1,Inactive
INV8T63J,120503,2023-09,2023-09,1,1,1.0,1,Inactive
INV8T63J,122639,2023-10,2023-10,1,1,1.0,1,Inactive
INV8UT0C,119598,2023-02,2023-02,1,1,1.0,1,Inactive
INV9MX2X,119551,2022-11,2022-11,1,1,1.0,1,Inactive
INV9MX2X,119598,2023-06,2023-06,1,1,1.0,1,Inactive
INV9SKDG,125497,2024-08,2024-08,1,1,1.0,1,Inactive
INV9T7E8,118989,2022-11,2022-11,1,1,1.0,1,Inactive
INV9T7E8,120503,2023-12,2023-12,1,1,1.0,1,Inactive
INV9T7E8,125497,2024-05,2024-05,1,1,1.0,1,Inactive
INV9TZE5,119551,2023-11,2023-11,1,1,1.0,1,Inactive
INV9UZFK,119598,2024-07,2024-07,1,1,1.0,1,Inactive
INV9XPSE,120594,2023-02,2023-02,1,1,1.0,1,Inactive
INV9YJB1,122639,2023-09,2023-09,1,1,1.0,1,Inactive
INV9YJB1,135781,2023-10,2023-10,1,1,1.0,1,Inactive
INVA1WJ0,120716,2022-01,2022-01,1,1,1.0,1,Inactive
INVAIR4C,120716,2024-03,2024-04,2,2,1.0,2,Inactive
INVAIR4C,135781,2024-07,2024-07,1,1,1.0,1,Inactive
INVAZYTJ,118989,2022-05,2022-05,1,1,1.0,1,Inactive
INVAZYTJ,125497,2024-05,2024-05,1,1,1.0,1,Inactive
INVAZYTJ,135781,2024-03,2024-05,3,2,0.6666666666666666,1,Inactive
INVBI4Q2,119598,2024-10,2024-10,1,1,1.0,1,Active
INVBI4Q2,122639,2023-03,2023-03,1,1,1.0,1,Inactive
INVBNP84,122639,2022-01,2022-01,1,1,1.0,1,Inactive
INVCGVYI,118989,2023-05,2023-05,1,1,1.0,1,Inactive
INVCGVYI,119551,2023-10,2023-10,1,1,1.0,1,Inactive
INVCGVYI,120594,2022-05,2022-05,1,1,1.0,1,Inactive
INVCIYHE,118989,2024-11,2024-11,1,1,1.0,1,Active
INVCIYHE,119598,2022-10,2022-10,1,1,1.0,1,Inactive
INVCIYHE,120503,2023-12,2024-10,11,2,0.18181818181818182,1,Active
INVCIYHE,125497,2022-01,2022-01,1,1,1.0,1,Inactive
INVCKJLT,119551,2022-08,2022-08,1,1,1.0,1,Inactive
INVCKJLT,125497,2023-07,2024-02,8,2,0.25,1,Inactive
INVCKJLT,135781,2023-11,2023-11,1,1,1.0,1,Inactive
INVCWI64,119598,2024-11,2024-11,1,1,1.0,1,Active
INVCWI64,120465,2024-11,2024-11,1,1,1.0,1,Active
INVCWI64,125497,2023-02,2023-02,1,1,1.0,1,Inactive
INVD5EQY,119551,2022-03,2022-03,1,1,1.0,1,Inactive
INVD5EQY,120716,2024-08,2024-08,1,1,1.0,1,Inactive
INVD5EQY,122639,2024-07,2024-07,1,1,1.0,1,Inactive
INVD84U8,119551,2023-06,2023-06,1,1,1.0,1,Inactive
INVD96QE,118989,2024-03,2024-03,1,1,1.0,1,Inactive
INVD96QE,120594,2024-10,2024-10,1,1,1.0,1,Active
INVDPG8S,120716,2022-07,2022-07,1,1,1.0,1,Inactive
INVDW2PC,135781,2023-09,2023-09,1,1,1.0,1,Inactive
INVDZR1Y,135781,2024-11,2024-11,1,1,1.0,1,Active
INVE6IVW,125497,2023-01,2023-01,1,1,1.0,1,Inactive
INVE8F84,118989,2024-04,2024-04,1,1,1.0,1,Inactive
INVE8F84,120716,2024-12,2024-12,1,1,1.0,1,Active
INVE8F84,122639,2023-11,2023-11,1,1,1.0,1,Inactive
INVEDTJV,120465,2023-10,2023-10,1,1,1.0,1,Inactive
INVEDTJV,135781,2022-07,2022-07,1,1,1.0,1,Inactive
INVEIYZC,120594,2023-11,2023-11,1,1,1.0,1,Inactive
INVEIYZC,135781,2023-04,2023-04,1,1,1.0,1,Inactive
INVEYUHZ,119551,2024-10,2024-10,1,1,1.0,1,Active
INVFTMTT,135781,2023-01,2023-01,1,1,1.0,1,Inactive
INVG8JDP,135781,2024-10,2024-10,1,1,1.0,1,Active
INVGB7R3,135781,2022-08,2022-08,1,1,1.0,1,Inactive
INVGDPPQ,120503,2023-04,2023-04,1,1,1.0,1,Inactive
INVGDPPQ,120594,2023-03,2023-03,1,1,1.0,1,Inactive
INVGDPPQ,125497,2024-11,2024-11,1,1,1.0,1,Active
INVGDSWM,120503,2023-10,2023-10,1,1,1.0,1,Inactive
INVH75LX,119598,2023-09,2023-12,4,2,0.5,1,Inactive
INVH75LX,120594,2023-07,2023-07,1,1,1.0,1,Inactive
INVH75LX,125497,2022-04,2024-01,22,2,0.09090909090909091,1,Inactive
INVH9SDB,120594,2023-11,2023-11,1,1,1.0,1,Inactive
INVH9SDB,122639,2024-04,2024-04,1,1,1.0,1,Inactive
INVH9SDB,135781,2022-05,2022-05,1,1,1.0,1,Inactive
INVHC36K,119551,2022-08,2022-12,5,2,0.4,1,Inactive
INVHC36K,120465,2023-06,2023-06,1,1,1.0,1,Inactive
INVHC36K,135781,2023-11,2023-11,1,1,1.0,1,Inactive
INVHHPBM,119551,2022-03,2022-03,1,1,1.0,1,Inactive
INVHHPBM,120594,2023-01,2023-09,9,2,0.2222222222222222,1,Inactive
INVHL1N1,118989,2022-12,2022-12,1,1,1.0,1,Inactive
INVHL1N1,119551,2023-11,2023-11,1,1,1.0,1,Inactive
INVHL1N1,135781,2022-02,2022-02,1,1,1.0,1,Inactive
INVHOCN9,120465,2024-08,2024-08,1,1,1.0,1,Inactive
INVHSAHX,119598,2023-10,2023-10,1,1,1.0,1,Inactive
INVHT0HL,119551,2022-03,2022-03,1,1,1.0,1,Inactive
INVHT0HL,120503,2022-09,2022-09,1,1,1.0,1,Inactive
INVHT0HL,122639,2024-01,2024-01,1,1,1.0,1,Inactive
INVHT0HL,125497,2022-06,2022-06,1,1,1.0,1,Inactive
INVI1B0Z,135781,2023-02,2023-02,1,1,1.0,1,Inactive
INVIA5U6,122639,2023-11,2023-11,1,1,1.0,1,Inactive
INVIA5U6,135781,2024-10,2024-10,1,1,1.0,1,Active
INVIDKWN,120503,2023-05,2023-05,1,1,1.0,1,Inactive
INVIGATJ,122639,2023-06,2023-06,1,1,1.0,1,Inactive
INVIGATJ,125497,2022-07,2022-07,1,1,1.0,1,Inactive
INVIGATJ,135781,2023-10,2023-10,1,1,1.0,1,Inactive
INVIMVIH,120594,2024-01,2024-01,1,1,1.0,1,Inactive
INVIQVNB,119551,2022-08,2022-08,1,1,1.0,1,Inactive
INVIQVNB,120716,2024-12,2024-12,1,1,1.0,1,Active
INVIQVNB,125497,2024-01,2024-01,1,1,1.0,1,Inactive
INVIXA11,119598,2023-09,2023-09,1,1,1.0,1,Inactive
INVIXA11,120465,2024-11,2024-11,1,1,1.0,1,Active
INVIXA11,135781,2023-11,2023-11,1,1,1.0,1,Inactive
INVJ43D5,119598,2022-02,2022-02,1,1,1.0,1,Inactive
INVJ43D5,120716,2022-03,2022-03,1,1,1.0,1,Inactive
INVJEGET,120716,2024-06,2024-06,1,1,1.0,1,Inactive
INVJJA26,122639,2024-12,2024-12,1,1,1.0,1,Active
INVK0GET,119598,2022-12,2022-12,1,1,1.0,1,Inactive
INVKEP7Y,118989,2023-02,2023-02,1,1,1.0,1,Inactive
INVKEP7Y,119551,2024-08,2024-08,1,1,1.0,1,Inactive
INVKKV9R,120503,2022-02,2022-02,1,1,1.0,1,Inactive
INVKKV9R,120594,2023-11,2023-11,1,1,1.0,1,Inactive
INVKKV9R,120716,2022-07,2022-07,1,1,1.0,1,Inactive
INVKPUXQ,120594,2023-10,2023-10,1,1,1.0,1,Inactive
INVL0UKE,118989,2022-05,2024-08,28,2,0.07142857142857142,1,Inactive
INVL0UKE,120594,2022-10,2022-10,1,1,1.0,1,Inactive
INVL1CQ9,119598,2023-04,2023-04,1,1,1.0,1,Inactive
INVL8OS9,120465,2023-03,2023-03,1,1,1.0,1,Inactive
INVL8OS9,120594,2023-08,2023-08,1,1,1.0,1,Inactive
INVLA753,120503,2023-02,2023-02,1,1,1.0,1,Inactive
INVM5IGQ,118989,2023-07,2023-07,1,1,1.0,1,Inactive
INVM5IGQ,120465,2022-04,2022-04,1,1,1.0,1,Inactive
INVM5IGQ,120594,2024-08,2024-08,1,1,1.0,1,Inactive
INVM5IGQ,125497,2024-06,2024-06,1,1,1.0,1,Inactive
INVMDD4V,119551,2024-02,2024-02,1,1,1.0,1,Inactive
INVMDD4V,119598,2023-05,2023-05,1,1,1.0,1,Inactive
INVMDD4V,120465,2022-06,2022-06,1,1,1.0,1,Inactive
INVMDD4V,122639,2024-06,2024-06,1,1,1.0,1,Inactive
INVMWWYZ,120503,2024-01,2024-01,1,1,1.0,1,Inactive
INVMWWYZ,120594,2023-02,2023-03,2,2,1.0,2,Inactive
INVMWWYZ,120716,2024-04,2024-04,1,1,1.0,1,Inactive
INVMYX44,120503,2023-02,2023-02,1,1,1.0,1,Inactive
INVMYX44,122639,2023-04,2024-08,17,2,0.11764705882352941,1,Inactive
INVN9T84,118989,2024-04,2024-04,1,1,1.0,1,Inactive
INVNAM14,120503,2023-09,2023-09,1,1,1.0,1,Inactive
INVNHJ7X,119551,2024-08,2024-08,1,1,1.0,1,Inactive
INVNHJ7X,125497,2024-11,2024-11,1,1,1.0,1,Active
INVNRIUU,120503,2024-04,2024-04,1,1,1.0,1,Inactive
INVNRIUU,120716,2023-08,2023-08,1,1,1.0,1,Inactive
INVO6QJI,120503,2024-01,2024-01,1,1,1.0,1,Inactive
INVOCWBF,119598,2024-08,2024-10,3,2,0.6666666666666666,1,Active
INVOCWBF,120716,2022-09,2022-09,1,1,1.0,1,Inactive
INVOF8KR,119551,2023-08,2023-08,1,1,1.0,1,Inactive
INVOF8KR,120465,2024-04,2024-04,1,1,1.0,1,Inactive
INVOF8KR,120594,2022-01,2022-01,1,1,1.0,1,Inactive
INVOTOHP,119551,2024-09,2024-09,1,1,1.0,1,Inactive
INVOTOHP,120503,2022-12,2022-12,1,1,1.0,1,Inactive
INVOWGZR,120503,2023-01,2023-01,1,1,1.0,1,Inactive
INVOWGZR,120716,2024-12,2024-12,1,1,1.0,1,Active
INVOWGZR,122639,2022-03,2022-03,1,1,1.0,1,Inactive
INVOXFQ8,119551,2023-02,2024-09,20,2,0.1,1,Inactive
INVOXFQ8,120594,2022-05,2022-05,1,1,1.0,1,Inactive
INVOXFQ8,122639,2024-09,2024-09,1,1,1.0,1,Inactive
INVOXFQ8,135781,2023-10,2023-10,1,1,1.0,1,Inactive
INVP49KW,119551,2024-04,2024-04,1,1,1.0,1,Inactive
INVP49KW,125497,2022-06,2022-06,1,1,1.0,1,Inactive
INVPHR62,119551,2022-12,2022-12,1,1,1.0,1,Inactive
INVPHR62,120716,2022-01,2022-01,1,1,1.0,1,Inactive
INVPNSM4,118989,2022-06,2023-10,17,2,0.11764705882352941,1,Inactive
INVPNSM4,119551,2022-01,2022-01,1,1,1.0,1,Inactive
INVPNSM4,120465,2024-08,2024-08,1,1,1.0,1,Inactive
INVPNSM4,120594,2022-09,2022-09,1,1,1.0,1,Inactive
INVPNSM4,125497,2022-10,2022-10,1,1,1.0,1,Inactive
INVPVS7H,119598,2024-12,2024-12,1,1,1.0,1,Active
INVPVS7H,135781,2022-02,2022-02,1,1,1.0,1,Inactive
INVQLGZU,119598,2023-05,2024-05,13,2,0.15384615384615385,1,Inactive
INVQLGZU,120716,2024-06,2024-06,1,1,1.0,1,Inactive
INVQVKIZ,119551,2022-03,2022-03,1,1,1.0,1,Inactive
INVQVKIZ,125497,2022-02,2022-03,2,2,1.0,2,Inactive
INVQVKIZ,135781,2023-06,2023-06,1,1,1.0,1,Inactive
INVR5UQP,120594,2023-10,2023-10,1,1,1.0,1,Inactive
INVR6K2V,118989,2023-11,2024-11,13,2,0.15384615384615385,1,Active
INVRBSV5,118989,2023-11,2023-11,1,1,1.0,1,Inactive
INVRBSV5,120465,2022-11,2022-11,1,1,1.0,1,Inactive
INVRBSV5,120503,2022-11,2022-11,1,1,1.0,1,Inactive
INVRBSV5,135781,2022-10,2022-10,1,1,1.0,1,Inactive
INVRC11E,120465,2023-01,2023-10,10,2,0.2,1,Inactive
INVRC11E,135781,2023-12,2023-12,1,1,1.0,1,Inactive
INVRTJ5P,122639,2024-09,2024-09,1,1,1.0,1,Inactive
INVT3W5U,118989,2023-04,2023-04,1,1,1.0,1,Inactive
INVT3W5U,120594,2022-04,2022-04,1,1,1.0,1,Inactive
INVT3W5U,125497,2023-10,2023-10,1,1,1.0,1,Inactive
INVTHV3A,119551,2024-09,2024-09,1,1,1.0,1,Inactive
INVTHV3A,122639,2024-08,2024-08,1,1,1.0,1,Inactive
INVTPAC5,120503,2024-09,2024-09,1,1,1.0,1,Inactive
INVTPAC5,120716,2023-03,2023-03,1,1,1.0,1,Inactive
INVTZ0YN,120465,2024-11,2024-11,1,1,1.0,1,Active
INVTZ0YN,122639,2023-06,2023-06,1,1,1.0,1,Inactive
INVU2GC5,120594,2022-09,2022-09,1,1,1.0,1,Inactive
INVUJV6O,118989,2023-02,2023-02,1,1,1.0,1,Inactive
INVUJV6O,119598,2023-07,2023-07,1,1,1.0,1,Inactive
INVUJV6O,120594,2022-02,2022-02,1,1,1.0,1,Inactive
INVUJZA7,120503,2022-10,2022-10,1,1,1.0,1,Inactive
INVUJZA7,120716,2023-06,2023-06,1,1,1.0,1,Inactive
INVUJZA7,122639,2022-01,2022-01,1,1,1.0,1,Inactive
INVUJZA7,125497,2022-03,2022-03,1,1,1.0,1,Inactive
INVUK9E1,119551,2023-12,2023-12,1,1,1.0,1,Inactive
INVUK9E1,125497,2023-03,2023-03,1,1,1.0,1,Inactive
INVUY0BV,122639,2024-02,2024-02,1,1,1.0,1,Inactive
INVV2ISQ,118989,2024-01,2024-01,1,1,1.0,1,Inactive
INVV2ISQ,119598,2024-02,2024-02,1,1,1.0,1,Inactive
INVVE92M,119598,2024-11,2024-11,1,1,1.0,1,Active
INVVG0FN,120503,2022-03,2022-03,1,1,1.0,1,Inactive
INVVG0FN,120716,2024-08,2024-08,1,1,1.0,1,Inactive
INVVG0FN,135781,2024-10,2024-10,1,1,1.0,1,Active
INVVIFTT,120465,2023-08,2023-08,1,1,1.0,1,Inactive
INVVIFTT,120503,2022-08,2022-08,1,1,1.0,1,Inactive
INVVIFTT,120716,2024-01,2024-01,1,1,1.0,1,Inactive
INVVS4F8,118989,2022-08,2022-10,3,2,0.6666666666666666,1,Inactive
INVVS4F8,120503,2024-12,2024-12,1,1,1.0,1,Active
INVVS4F8,120594,2023-02,2023-02,1,1,1.0,1,Inactive
INVW1SWJ,120594,2024-06,2024-06,1,1,1.0,1,Inactive
INVWAOUA,122639,2024-09,2024-09,1,1,1.0,1,Inactive
INVWI6FQ,135781,2022-04,2024-12,33,2,0.06060606060606061,1,Active
INVWRDML,125497,2024-06,2024-06,1,1,1.0,1,Inactive
INVWX7PT,118989,2023-04,2023-04,1,1,1.0,1,Inactive
INVWZS3T,120465,2024-12,2024-12,1,1,1.0,1,Active
INVWZS3T,135781,2024-05,2024-05,1,1,1.0,1,Inactive
INVX4W6X,120594,2022-06,2023-07,14,2,0.14285714285714285,1,Inactive
INVX4W6X,122639,2023-08,2023-08,1,1,1.0,1,Inactive
INVX4W6X,125497,2024-06,2024-06,1,1,1.0,1,Inactive
INVX63CF,119551,2022-06,2022-06,1,1,1.0,1,Inactive
INVXAJI0,119598,2023-10,2024-06,9,2,0.2222222222222222,1,Inactive
INVXAJI0,120503,2022-08,2023-08,13,2,0.15384615384615385,1,Inactive
INVXEPQ8,122639,2024-07,2024-07,1,1,1.0,1,Inactive
INVXEQBN,119551,2022-10,2024-11,26,2,0.07692307692307693,1,Active
INVXEQBN,120503,2024-07,2024-07,1,1,1.0,1,Inactive
INVXFGCA,119598,2024-12,2024-12,1,1,1.0,1,Active
INVXFGCA,120503,2024-01,2024-01,1,1,1.0,1,Inactive
INVXFGCA,120716,2022-09,2022-09,1,1,1.0,1,Inactive
INVXFGCA,135781,2022-05,2022-05,1,1,1.0,1,Inactive
INVXR2DH,125497,2023-09,2023-09,1,1,1.0,1,Inactive
INVXTOGN,125497,2024-08,2024-08,1,1,1.0,1,Inactive
INVY4LYK,120594,2024-12,2024-12,1,1,1.0,1,Active
INVY8OZC,119551,2023-08,2023-08,1,1,1.0,1,Inactive
INVY8OZC,135781,2023-08,2023-08,1,1,1.0,1,Inactive
INVYFPMV,118989,2022-12,2022-12,1,1,1.0,1,Inactive
INVYFPMV,120503,2022-01,2022-01,1,1,1.0,1,Inactive
INVYFPMV,125497,2022-11,2022-11,1,1,1.0,1,Inactive
INVYFPMV,135781,2024-08,2024-08,1,1,1.0,1,Inactive
INVYLURT,125497,2024-04,2024-04,1,1,1.0,1,Inactive
INVYLURT,135781,2024-08,2024-08,1,1,1.0,1,Inactive
INVYOFQE,119598,2023-06,2023-06,1,1,1.0,1,Inactive
INVYOFQE,120594,2024-05,2024-12,8,2,0.25,1,Active
INVYOFQE,120716,2023-12,2023-12,1,1,1.0,1,Inactive
INVYOFQE,122639,2023-01,2023-01,1,1,1.0,1,Inactive
INVYV37D,125497,2023-01,2023-01,1,1,1.0,1,Inactive
INVYV37D,135781,2022-12,2022-12,1,1,1.0,1,Inactive
INVYWD14,120716,2023-09,2023-09,1,1,1.0,1,Inactive
INVYZ7SR,120503,2024-02,2024-02,1,1,1.0,1,Inactive
INVYZ7SR,120594,2023-08,2023-08,1,1,1.0,1,Inactive
INVZBIKC,118989,2022-09,2024-04,20,2,0.1,1,Inactive
INVZBIKC,119551,2024-11,2024-11,1,1,1.0,1,Active
INVZBIKC,122639,2024-01,2024-01,1,1,1.0,1,Inactive
INVZIOYK,120594,2023-12,2023-12,1,1,1.0,1,Inactive
INVZIOYK,135781,2023-10,2023-10,1,1,1.0,1,Inactive
INVZKLOO,119598,2022-01,2022-01,1,1,1.0,1,Inactive
INVZKLOO,120594,2024-05,2024-05,1,1,1.0,1,Inactive
INVZP08J,119598,2022-02,2022-02,1,1,1.0,1,Inactive
INVZP08J,120465,2023-01,2023-01,1,1,1.0,1,Inactive
INVZP08J,135781,2024-04,2024-04,1,1,1.0,1,Inactive
INVZQY72,119598,2023-06,2023-06,1,1,1.0,1,Inactive
INVZQY72,120503,2023-09,2023-09,1,1,1.0,1,Inactive
INVZQY72,120594,2022-04,2022-04,1,1,1.0,1,Inactive
