transaction_id,investor_id,investor_name,investor_type,city,state,risk_profile,scheme_code,scheme_name,amc_code,transaction_type,transaction_date,amount_inr,units,nav_at_transaction
TXN0000021,INV30T9N,Investor_0007,Corporate,Chennai,Tamil Nadu,Moderate,122639,SBI Small Cap Fund - Direct Growth,SBI,Switch-In,2022-08-30,54135.43,175.1013,309.1663
TXN0000022,INV4I3QK,Investor_0068,HUF,Mumbai,Maharashtra,Aggressive,118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Switch-In,2023-08-08,5496.37,19.4869,282.0544
TXN0000023,INVYFPMV,Investor_0178,Individual,Hyderabad,Telangana,Conservative,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Lumpsum,2022-06-01,927.15,8.7995,105.3639
TXN0000024,INV3TRP0,Investor_0116,Corporate,Delhi,Delhi,Aggressive,122639,SBI Small Cap Fund - Direct Growth,SBI,Switch-In,2023-10-17,1062.1,3.7884,280.3581
TXN0000025,INV5BCW7,Investor_0171,Corporate,Lucknow,Uttar Pradesh,Moderate,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,SIP,2022-11-19,10782.66,129.1417,83.4948
TXN0000026,INVR6K2V,Investor_0183,Individual,Bengaluru,Karnataka,Moderate,122639,SBI Small Cap Fund - Direct Growth,SBI,Redemption,2023-02-16,4621.36,16.075,287.4879
TXN0000027,INVGDPPQ,Investor_0036,HUF,Bengaluru,Karnataka,Conservative,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Switch-In,2024-01-26,486.09,2.6002,186.9404
TXN0000028,INV5ZJA8,Investor_0120,HUF,Kolkata,West Bengal,Conservative,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Lumpsum,2024-03-26,913.15,6.479,140.9396
TXN0000029,INVMWWYZ,Investor_0184,Individual,Pune,Maharashtra,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Switch-Out,2022-06-01,52691.65,438.025,120.2937
TXN0000030,INVCWI64,Investor_0033,Individual,Bengaluru,Karnataka,Moderate,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,SIP,2024-11-25,99316.66,1414.1911,70.2286
TXN0000031,INVY9V86,Investor_0089,Corporate,Lucknow,Uttar Pradesh,Moderate,122639,SBI Small Cap Fund - Direct Growth,SBI,Switch-Out,2022-09-22,2107.11,6.4948,324.43
TXN0000032,INVYWD14,Investor_0111,Corporate,Pune,Maharashtra,Conservative,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,SIP,2023-09-15,1003.62,5.4316,184.774
TXN0000033,INVJ2QP8,Investor_0043,Individual,Lucknow,Uttar Pradesh,Moderate,122639,SBI Small Cap Fund - Direct Growth,SBI,Redemption,2024-11-28,4846.02,18.2241,265.9123
TXN0000035,INVCWI64,Investor_0033,Individual,Bengaluru,Karnataka,Moderate,118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Switch-Out,2022-12-12,1000.51,3.9741,251.7601
TXN0000036,INVXTOGN,Investor_0152,Individual,Lucknow,Uttar Pradesh,Moderate,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Lumpsum,2023-11-23,2063.49,9.0567,227.8424
TXN0000037,INVD84U8,Investor_0145,Individual,Hyderabad,Telangana,Moderate,119551,Axis Bluechip Fund - Direct Growth,AXIS,SIP,2023-06-27,909.09,7.1827,126.5663
TXN0000038,INV5PSQ0,Investor_0167,HUF,Pune,Maharashtra,Conservative,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Switch-Out,2022-03-04,51181.08,309.8108,165.2011
TXN0000039,INVIGATJ,Investor_0128,Corporate,Jaipur,Rajasthan,Aggressive,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Redemption,2024-04-11,9965.89,45.6802,218.1667
TXN0000040,INVZKLOO,Investor_0077,Corporate,Delhi,Delhi,Aggressive,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,SIP,2024-05-01,465.81,4.5081,103.3262
TXN0000041,INVP0LZJ,Investor_0124,Individual,Jaipur,Rajasthan,Conservative,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Lumpsum,2023-10-03,25533.3,211.9264,120.4819
TXN0000042,INVMWWYZ,Investor_0184,Individual,Pune,Maharashtra,Moderate,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Redemption,2024-01-29,46307.66,863.2338,53.6444
TXN0000043,INVOCWBF,Investor_0132,Corporate,Pune,Maharashtra,Moderate,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,SIP,2022-09-08,23708.69,125.5175,188.8875
TXN0000044,INV2IAGL,Investor_0069,Individual,Mumbai,Maharashtra,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Lumpsum,2023-08-18,1838.72,13.7877,133.359
TXN0000045,INVHHPBM,Investor_0099,HUF,Hyderabad,Telangana,Conservative,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Switch-In,2022-11-24,5462.69,25.0818,217.7946
TXN0000046,INVAIR4C,Investor_0084,HUF,Lucknow,Uttar Pradesh,Conservative,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Redemption,2024-10-17,5263.12,20.2477,259.9366
TXN0000047,INVOCWBF,Investor_0132,Corporate,Pune,Maharashtra,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Switch-In,2022-07-04,9994.74,74.2733,134.567
TXN0000048,INVWAOUA,Investor_0101,HUF,Ahmedabad,Gujarat,Moderate,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Switch-In,2023-12-24,4715.14,23.9458,196.9088
TXN0000049,INV9XUY4,Investor_0013,HUF,Lucknow,Uttar Pradesh,Conservative,119551,Axis Bluechip Fund - Direct Growth,AXIS,Redemption,2024-08-21,101950.38,848.5294,120.1495
TXN0000050,INVUJZA7,Investor_0074,Individual,Ahmedabad,Gujarat,Aggressive,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,SIP,2023-06-26,986.19,6.1294,160.8949
TXN0000051,INVK0GET,Investor_0187,Corporate,Lucknow,Uttar Pradesh,Aggressive,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Switch-In,2022-04-15,22726.21,421.833,53.8749
TXN0000052,INV9YJB1,Investor_0146,Corporate,Delhi,Delhi,Aggressive,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Lumpsum,2022-05-31,25266.11,119.2228,211.9235
TXN0000053,INVHHPBM,Investor_0099,HUF,Hyderabad,Telangana,Conservative,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Switch-In,2022-09-01,10650.62,57.0828,186.5821
TXN0000054,INVCWI64,Investor_0033,Individual,Bengaluru,Karnataka,Moderate,120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Switch-In,2023-11-26,26474.49,103.6593,255.3991
TXN0000055,INVYZ7SR,Investor_0143,Corporate,Bengaluru,Karnataka,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Lumpsum,2024-04-02,5102.46,100.0873,50.9801
TXN0000056,INV9TZE5,Investor_0129,Corporate,Pune,Maharashtra,Conservative,119551,Axis Bluechip Fund - Direct Growth,AXIS,SIP,2023-11-14,463.7,2.9702,156.1153
TXN0000057,INVXR2DH,Investor_0122,Individual,Pune,Maharashtra,Conservative,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Switch-In,2024-11-21,2042.5,15.4873,131.8824
TXN0000058,INVGDPPQ,Investor_0036,HUF,Bengaluru,Karnataka,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Switch-Out,2023-09-05,23312.51,356.0113,65.4825
TXN0000059,INVXTOGN,Investor_0152,Individual,Lucknow,Uttar Pradesh,Moderate,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Switch-Out,2023-09-06,104174.8,1820.843,57.2124
TXN0000060,INVXR2DH,Investor_0122,Individual,Pune,Maharashtra,Conservative,119551,Axis Bluechip Fund - Direct Growth,AXIS,Redemption,2024-05-03,25869.03,176.3219,146.7148
TXN0000061,INV83TQL,Investor_0150,HUF,Delhi,Delhi,Conservative,118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,SIP,2023-04-12,95310.61,310.2457,307.2101
TXN0000062,INVX4W6X,Investor_0185,Individual,Chennai,Tamil Nadu,Conservative,119551,Axis Bluechip Fund - Direct Growth,AXIS,Switch-Out,2024-02-18,93410.24,718.7792,129.9568
TXN0000063,INVM5IGQ,Investor_0038,Individual,Mumbai,Maharashtra,Moderate,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,SIP,2024-06-22,938.16,4.6049,203.7297
TXN0000064,INVPHR62,Investor_0081,HUF,Delhi,Delhi,Aggressive,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Lumpsum,2024-04-20,51905.0,153.6074,337.9069
TXN0000065,INV9TZE5,Investor_0129,Corporate,Pune,Maharashtra,Conservative,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Switch-In,2024-11-28,520.58,1.6103,323.2813
TXN0000066,INVZW9XA,Investor_0054,Individual,Ahmedabad,Gujarat,Aggressive,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Redemption,2023-10-05,100509.54,682.1147,147.3499
TXN0000067,INV8UT0C,Investor_0045,Corporate,Mumbai,Maharashtra,Aggressive,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Switch-Out,2023-06-26,25231.37,187.9201,134.2665
TXN0000068,INV3RZSJ,Investor_0157,Individual,Lucknow,Uttar Pradesh,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Lumpsum,2023-09-04,4779.01,52.6819,90.7145
TXN0000070,INVGDSWM,Investor_0082,HUF,Bengaluru,Karnataka,Aggressive,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Redemption,2024-02-17,9575.58,73.3521,130.5427
TXN0000071,INVXEQBN,Investor_0102,HUF,Hyderabad,Telangana,Aggressive,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Lumpsum,2022-06-11,9084.13,107.3937,84.5872
TXN0000072,INVY9V86,Investor_0089,Corporate,Lucknow,Uttar Pradesh,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Redemption,2023-07-10,94279.74,729.5923,129.2225
TXN0000073,INVCBPLJ,Investor_0144,HUF,Ahmedabad,Gujarat,Moderate,118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Lumpsum,2023-05-06,1023.14,3.363,304.2344
TXN0000074,INV6HID2,Investor_0063,Individual,Lucknow,Uttar Pradesh,Moderate,119551,Axis Bluechip Fund - Direct Growth,AXIS,Switch-Out,2022-04-18,5137.94,37.4021,137.3702
TXN0000075,INVLA753,Investor_0026,Individual,Hyderabad,Telangana,Moderate,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Redemption,2022-10-09,92010.9,330.3495,278.5259
TXN0000076,INVY6DPB,Investor_0002,HUF,Pune,Maharashtra,Conservative,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Lumpsum,2024-09-01,51528.93,318.8993,161.5837
TXN0000077,INVYLURT,Investor_0123,HUF,Bengaluru,Karnataka,Moderate,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Redemption,2022-05-02,23927.08,118.4678,201.9711
TXN0000078,INVD5EQY,Investor_0197,Individual,Ahmedabad,Gujarat,Aggressive,120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Switch-Out,2022-03-18,5035.15,31.9137,157.7739
TXN0000079,INV8UT0C,Investor_0045,Corporate,Mumbai,Maharashtra,Aggressive,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Lumpsum,2024-03-24,549.72,2.3025,238.7472
TXN0000080,INV9SKDG,Investor_0127,Individual,Jaipur,Rajasthan,Aggressive,122639,SBI Small Cap Fund - Direct Growth,SBI,Redemption,2022-08-08,450.93,1.1021,409.161
TXN0000081,INVIXA11,Investor_0086,Individual,Jaipur,Rajasthan,Aggressive,118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Switch-In,2022-10-02,107785.2,337.3886,319.469
TXN0000082,INVR5UQP,Investor_0130,Corporate,Delhi,Delhi,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Redemption,2023-11-09,5308.81,46.8791,113.2447
TXN0000083,INVHOCN9,Investor_0042,Corporate,Hyderabad,Telangana,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Redemption,2023-11-22,1805.63,17.0315,106.0168
TXN0000084,INVCXLL4,Investor_0076,HUF,Delhi,Delhi,Moderate,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Lumpsum,2024-04-10,2044.38,7.2983,280.1185
TXN0000087,INV3J2D5,Investor_0067,Corporate,Ahmedabad,Gujarat,Conservative,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Lumpsum,2023-11-07,105075.13,481.6067,218.1762
TXN0000088,INVKEP7Y,Investor_0078,Corporate,Pune,Maharashtra,Conservative,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Switch-Out,2024-01-07,476.16,1.9815,240.2985
TXN0000089,INVYFPMV,Investor_0178,Individual,Hyderabad,Telangana,Conservative,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,SIP,2022-11-24,993.08,3.8231,259.7595
TXN0000090,INV3JCAT,Investor_0104,Individual,Pune,Maharashtra,Moderate,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Redemption,2023-08-28,1027.74,4.7237,217.5721
TXN0000091,INVOTOHP,Investor_0095,HUF,Kolkata,West Bengal,Aggressive,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Lumpsum,2024-09-06,5457.36,22.0689,247.2879
TXN0000092,INV5TB94,Investor_0040,Corporate,Mumbai,Maharashtra,Conservative,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Switch-Out,2024-08-22,24579.23,297.7951,82.5374
TXN0000093,INVIA5U6,Investor_0194,Individual,Mumbai,Maharashtra,Moderate,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Lumpsum,2022-06-17,5180.34,25.0232,207.0214
TXN0000094,INVP49KW,Investor_0135,Corporate,Chennai,Tamil Nadu,Conservative,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Switch-Out,2022-08-18,22890.51,205.0561,111.6305
TXN0000095,INVO6QJI,Investor_0016,Individual,Pune,Maharashtra,Conservative,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Switch-Out,2022-11-03,5072.7,25.0377,202.6022
TXN0000096,INVJ2QP8,Investor_0043,Individual,Lucknow,Uttar Pradesh,Moderate,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Switch-Out,2023-02-25,92324.8,1311.5212,70.3952
TXN0000097,INVMWWYZ,Investor_0184,Individual,Pune,Maharashtra,Moderate,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Switch-In,2024-07-01,1079.78,5.3115,203.2914
TXN0000098,INVH75LX,Investor_0015,HUF,Mumbai,Maharashtra,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Lumpsum,2022-04-29,49567.98,657.5886,75.3784
TXN0000099,INVCBPLJ,Investor_0144,HUF,Ahmedabad,Gujarat,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Redemption,2022-01-07,489.59,4.4529,109.9491
TXN0000100,INV0982N,Investor_0191,Individual,Bengaluru,Karnataka,Aggressive,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Switch-Out,2023-12-07,909.06,5.5319,164.3305
TXN0000101,INVNRIUU,Investor_0180,Individual,Kolkata,West Bengal,Aggressive,120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Switch-Out,2022-05-22,543.46,3.3586,161.8107
TXN0000102,INVDZR1Y,Investor_0121,HUF,Delhi,Delhi,Moderate,119551,Axis Bluechip Fund - Direct Growth,AXIS,Redemption,2022-10-05,46799.81,297.2679,157.4331
TXN0000103,INVD5EQY,Investor_0197,Individual,Ahmedabad,Gujarat,Aggressive,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Redemption,2024-02-13,49485.37,190.7528,259.4215
TXN0000104,INVNAM14,Investor_0097,Corporate,Delhi,Delhi,Aggressive,120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,Switch-Out,2023-12-14,2061.41,11.9553,172.4258
TXN0000105,INV9XPSE,Investor_0031,HUF,Chennai,Tamil Nadu,Moderate,122639,SBI Small Cap Fund - Direct Growth,SBI,Switch-Out,2023-04-02,50288.43,192.876,260.7293
TXN0000106,INVXAJI0,Investor_0001,HUF,Delhi,Delhi,Moderate,119551,Axis Bluechip Fund - Direct Growth,AXIS,Redemption,2024-05-18,103470.0,497.1123,208.1421
TXN0000107,INVXFGCA,Investor_0137,Individual,Chennai,Tamil Nadu,Moderate,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Lumpsum,2022-11-14,4960.63,23.7795,208.6094
TXN0000108,INV9T7E8,Investor_0071,Individual,Kolkata,West Bengal,Conservative,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,SIP,2024-05-08,530.95,2.8206,188.2417
TXN0000109,INV49ITN,Investor_0158,Individual,Jaipur,Rajasthan,Conservative,119551,Axis Bluechip Fund - Direct Growth,AXIS,Lumpsum,2022-03-10,4567.29,31.6449,144.3295
TXN0000110,INVZP08J,Investor_0115,Corporate,Ahmedabad,Gujarat,Aggressive,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,SIP,2024-04-03,5240.54,17.279,303.2892
TXN0000111,INVPNSM4,Investor_0113,HUF,Pune,Maharashtra,Aggressive,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Switch-Out,2022-04-26,5254.39,26.8473,195.714
TXN0000112,INVGDPPQ,Investor_0036,HUF,Bengaluru,Karnataka,Conservative,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Redemption,2023-10-16,5315.79,39.6809,133.9634
TXN0000113,INVWRDML,Investor_0148,HUF,Jaipur,Rajasthan,Moderate,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Redemption,2022-10-21,4801.76,27.5862,174.0639
TXN0000114,INV4NLZ1,Investor_0170,Individual,Bengaluru,Karnataka,Aggressive,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Lumpsum,2022-05-05,48005.01,243.4497,197.1866
TXN0000115,INVYZ7SR,Investor_0143,Corporate,Bengaluru,Karnataka,Conservative,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Lumpsum,2022-04-07,50558.51,180.3283,280.3693
TXN0000116,INVY9V86,Investor_0089,Corporate,Lucknow,Uttar Pradesh,Moderate,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Switch-Out,2024-04-16,25981.54,101.7108,255.4452
TXN0000117,INVPKI7P,Investor_0039,Corporate,Bengaluru,Karnataka,Moderate,118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Switch-In,2024-08-27,2101.77,10.5769,198.7139
TXN0000118,INVEL624,Investor_0062,Corporate,Hyderabad,Telangana,Moderate,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Redemption,2022-04-29,2122.31,11.1191,190.8708
TXN0000119,INVCBPLJ,Investor_0144,HUF,Ahmedabad,Gujarat,Moderate,120465,Nippon India Large Cap Fund - Direct Growth,NIPPON,Switch-In,2023-06-07,1955.37,6.8945,283.6142
TXN0000120,INV55NF4,Investor_0053,Individual,Delhi,Delhi,Aggressive,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,SIP,2022-07-09,106942.67,1320.5848,80.9813
TXN0000121,INVQVKIZ,Investor_0138,HUF,Pune,Maharashtra,Aggressive,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,SIP,2022-03-22,9754.34,63.3833,153.8945
TXN0000122,INVDW2PC,Investor_0019,Individual,Lucknow,Uttar Pradesh,Moderate,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Switch-Out,2023-11-13,4979.39,23.2524,214.1452
TXN0000123,INVKEP7Y,Investor_0078,Corporate,Pune,Maharashtra,Conservative,119551,Axis Bluechip Fund - Direct Growth,AXIS,Lumpsum,2022-08-29,5462.08,38.6111,141.4639
TXN0000124,INV2ATQY,Investor_0192,Corporate,Bengaluru,Karnataka,Aggressive,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Lumpsum,2023-05-06,4896.63,43.0646,113.7042
TXN0000125,INVL0UKE,Investor_0142,HUF,Hyderabad,Telangana,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Redemption,2024-01-06,49662.5,632.3662,78.5344
TXN0000126,INV6WKTA,Investor_0079,HUF,Lucknow,Uttar Pradesh,Aggressive,118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Redemption,2024-08-19,99320.08,308.9161,321.5115
TXN0000127,INVHC36K,Investor_0195,HUF,Delhi,Delhi,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Lumpsum,2022-04-04,24064.61,353.3265,68.1087
TXN0000128,INVD84U8,Investor_0145,Individual,Hyderabad,Telangana,Moderate,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,Lumpsum,2024-05-05,476.08,2.2479,211.7863
TXN0000129,INVCXLL4,Investor_0076,HUF,Delhi,Delhi,Moderate,122639,SBI Small Cap Fund - Direct Growth,SBI,Lumpsum,2023-05-19,23650.09,81.9462,288.6051
TXN0000131,INVLPU0D,Investor_0186,Individual,Pune,Maharashtra,Moderate,120594,DSP Top 100 Equity Fund - Direct Growth,DSP,Switch-In,2023-12-23,2093.11,27.2531,76.8025
TXN0000132,INV9UZFK,Investor_0044,Individual,Pune,Maharashtra,Conservative,122639,SBI Small Cap Fund - Direct Growth,SBI,Switch-Out,2022-05-01,93680.96,320.5434,292.2567
TXN0000133,INVP49KW,Investor_0135,Corporate,Chennai,Tamil Nadu,Conservative,119551,Axis Bluechip Fund - Direct Growth,AXIS,SIP,2024-04-24,526.43,4.376,120.2993
TXN0000134,INVGDPPQ,Investor_0036,HUF,Bengaluru,Karnataka,Conservative,125497,HDFC Mid-Cap Opportunities Fund - Direct Growth,HDFC,SIP,2024-11-01,1803.66,6.793,265.5159
TXN0000135,INVJ43D5,Investor_0117,Corporate,Delhi,Delhi,Conservative,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,SIP,2022-02-02,103185.69,1331.6448,77.4874
TXN0000136,INVY6DPB,Investor_0002,HUF,Pune,Maharashtra,Conservative,120716,Canara Robeco Bluechip Equity Fund - Direct Growth,CANARA,Switch-Out,2024-12-20,45118.51,324.2302,139.1558
TXN0000137,INVX4W6X,Investor_0185,Individual,Chennai,Tamil Nadu,Conservative,118989,ICICI Prudential Technology Fund - Direct Growth,ICICI,Switch-Out,2024-05-31,9034.29,45.8082,197.2199
TXN0000138,INVVS4F8,Investor_0046,Individual,Bengaluru,Karnataka,Aggressive,120503,Mirae Asset Large Cap Fund - Direct Growth,MIRAE,SIP,2024-12-14,1896.39,10.3024,184.0732
TXN0000139,INV5935A,Investor_0065,HUF,Jaipur,Rajasthan,Aggressive,119598,Kotak Bluechip Fund - Direct Growth,KOTAK,Redemption,2024-04-11,45790.19,719.9263,63.604
TXN0000140,INVIQVNB,Investor_0118,Corporate,Delhi,Delhi,Aggressive,135781,Parag Parikh Flexi Cap Fund - Direct Growth,PPFAS,Lumpsum,2022-06-15,4799.97,22.3599,214.6686
